batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,threshold_TjIn2,0.79,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.8,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.81,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.82,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.83,0.9964912280701755,1.0,0.993006993006993,0,142,0,0,1,135,
ALL,threshold_TjIn2,0.84,0.9964912280701755,1.0,0.993006993006993,0,142,0,0,1,135,
ALL,threshold_TjIn2,0.85,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.86,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.87,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.88,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.89,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.9,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.91,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.92,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.93,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.94,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.95,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.96,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.97,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.98,1.0,1.0,1.0,0,143,0,0,0,135,
ALL,threshold_TjIn2,0.99,1.0,1.0,1.0,0,143,0,0,0,135,
